marca,modelo,cod_fipe,novo_a,novo_g,med18a,med18g,med17a,med17g,med16a,med16g,med15a,med15g,med14a,med14g,med13a,med13g,med12a,med12g,med11a,med11g,med10a,med10g,med09a,med09g,med08a,med08g,med07a,med07g,med06a,med06g,med05a,med05g,med04a,med04g,med03a,med03g,med02a,med02g,med01a,med01g,med00a,med00g,med99a,med99g,med98a,med98g,med97a,med97g,med96a,med96g,med95a,med95g,med94g,med93g,med92g,med91g,med90g,med89g,med88g,med87g,med86g,med85g,num_passag
Citroën,DS3 1.6 Turbo 16V 3p Mec.,011113-9,,,,,,,,,,,,59584,,47301,,44055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Citroën,DS3 Sport Chic 1.6 TB 16V 3p Mec.,011149-0,,92397,,,,,,77094,,74522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Citroën,DS4 1.6 Chic Turbo 16V 5p Aut.,011147-3,,103641,,,,,,84892,,78768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Citroën,DS4 1.6 So Chic Turbo 16V 5p Aut.,011148-1,,114141,,,,,,87292,,83893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Citroën,DS4 1.6 Turbo 16V 5p Aut.,011121-0,,,,,,,,,,,,61126,,56704,,53856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Citroën,DS5 1.6 Be Chic Turbo 16V 5p Aut.,011155-4,,136660,,,,,,111870,,97885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Citroën,DS5 1.6 So Chic Turbo 16V 5p Aut.,011154-6,,154266,,,,,,121450,,109641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Citroën,DS5 1.6 Turbo 16V 5p Aut.,011120-1,,,,,,,,,,,,80674,,71708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Citroën,Evasion  GLX 2.0 16V,011027-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17260,,15683,,13975,,12270,,,,,,,,,,,,,,,,,00007
Citroën,Evasion VSX Turbo,011003-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22182,,18160,,15482,,,,,,,,,,,00008
Citroën,Grand C4 Picasso Intensive 1.6 TB Aut.,011168-6,,147462,,,,131597,,127215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00007
Citroën,Grand C4 Picasso Seduction 1.6 TB Aut.,011167-8,,127513,,,,111246,,106602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00007
Citroën,Jumper 2.3 15/16Lug. TB Diesel,011099-0,,107874,,,,90315,,85928,,82940,,77191,,69867,,63012,,59591,,50102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-15
Citroën,Jumper 2.3 Furgão TB Diesel,011100-7,,89538,,,,76010,,,,73450,,65514,,60177,,55036,,53227,,43003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00003
Citroën,Jumper 2.3 Vetrato Exec. 16Lug. TB Dies.  ,011112-0,,,,,,,,,,86696,,83959,,74248,,71829,,65853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00016
Citroën,Jumper 2.3 Vetrato TB Diesel,011104-0,,96898,,,,,,82023,,79230,,69625,,65295,,58146,,55370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00003
Citroën,Jumper 2.5 Diesel,011028-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12330,,,,,,10847,,,,,,,,,,,00003
Citroën,Jumper 2.8 16Lug.  Diesel,011050-7,,,,,,,,,,,,,,,,,,,,,,45059,,43470,,41408,,40120,,38428,,36859,,31795,,28490,,27300,,23857,,,,,,,,,,,,,,,,,,,,,00016
Citroën,Jumper 2.8 Furgão 35C Diesel,011052-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17201,,,,,,,,,,,,,,,,,,,,,00003
Citroën,Jumper 2.8 Furgão 35MH Diesel,011051-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33005,,,,28500,,,,23873,,21517,,,,,,,,,,,,,,,,,,,,,00003
Citroën,Xantia 2.0  16V,011043-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6875,,6631,,6386,5778,,,,,,,,,,00005
Citroën,Xantia Activa 2.0,011044-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8406,,,,,,,,,,,,,,,00005
Citroën,Xantia Activa 2.0 TB,011045-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10101,,9719,,,,,,,,,,,,,00005
Citroën,Xantia Activa 3.0 V6 Mec,011014-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11384,,9256,,8861,,,,,,,,,,,,,,,00005
Citroën,Xantia Break 2.0 8V/GLX 2.0 16V Aut,011015-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10785,,10170,,9863,,7825,,7404,,6705,,6413,,,,,,,,,,,00005
Citroën,Xantia Break GLX 2.0 16V Mec.,011049-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10251,,9942,,9265,,7899,,6927,,6627,,,,,,,,,,,,,00005
Citroën,Xantia Exclusive 2.0 16V,011042-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9191,,8094,,7639,,,,,,,,,,,,,,,,,00005
Citroën,Xantia Exclusive 3.0 V6,011034-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11476,,10963,,10488,,,,,,,,,,,,,,,,,00005
Citroën,Xantia GLX 2.0 16V Aut.,011047-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11275,,10873,,9702,,8107,,,,,,,,,,,,,,,,,00005
Citroën,Xantia GLX 2.0 16V Mec.,011029-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12747,,10693,,10289,,7984,,7591,,,,,,,,,,,,,,,,,00005
Citroën,Xantia SX 1.8,011016-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8709,,7910,,6507,,5610,,,,,,,,,,,,,00005
Citroën,Xantia SX 2.0 8V/16V Mec/ Aut,011004-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8727,,7704,,6930,,6591,,,,,,,,,,,00005
Citroën,Xantia VSX 2.0,011005-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10961,,8915,,8585,,8059,6836,,,,,,,,,,00005
Citroën,Xantia VSX 2.0 16V,011048-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11141,,9462,,9011,,8229,7802,,,,,,,,,,00005
Citroën,XM Exclusive 12v,011007-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9753,,9400,,9116,8652,7439,5908,,,,,,,,00005
Citroën,XM Exclusive 24V,011040-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13931,,12222,,11597,,10595,,,,,,,,,,,,,,,00005
Citroën,XM Exclusive Break,011006-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11592,9158,7860,7445,,,,,,,,00005
Citroën,XM Sensation 2.0 TB,011041-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7926,7185,6578,5906,,,,,,,,00005
Citroën,Xsara Break Exclusive 1.6 16V 5p Aut.,011061-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14447,,,,,,,,,,,,,,,,,,,,,,,00005
Citroën,Xsara Break Exclusive 1.6 16V 5p Mec.,011060-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10970,,,,,,,,,,,,,,,,,,,,,,,00005
Citroën,Xsara Break Exclusive 1.8 16V,011021-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10501,,10134,,9786,,9247,,,,,,,,,,,,,,,,,00005
Citroën,Xsara Break Exclusive 2.0 16V,011036-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14451,,13560,,12808,,11857,,10910,,,,,,,,,,,,,,,,,,,00005
Citroën,Xsara Break GLX 1.6 16V 5p Aut.,011062-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13233,,12487,,10626,,,,,,,,,,,,,,,,,,,,,,,00005
Citroën,Xsara Break GLX 1.6 16V 5p Mec.,011059-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10739,,10253,,8995,,,,,,,,,,,,,,,,,,,,,,,00005
Citroën,Xsara Break GLX 1.8 16V,011020-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9695,,9219,,8747,,7805,,,,,,,,,,,,,,,,,00005
Citroën,Xsara Break GLX/ Paris 2.0 16V,011035-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13779,,,,12331,,10786,,10400,,,,,,,,,,,,,,,,,,,00005
Citroën,Xsara Exclusive 1.6 16V 5p Aut.,011057-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14045,,,,,,,,,,,,,,,,,,,,,,,00005
Citroën,Xsara Exclusive 1.6 16V 5p Mec.,011056-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13040,,,,,,,,,,,,,,,,,,,,,,,00005
Citroën,Xsara Exclusive 1.8 8V/16V 5p Aut,011019-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10269,,9440,,8843,,,,,,,,,,,,,,,,,00005
Citroën,Xsara Exclusive 1.8 8V/16V 5p Mec,011018-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9810,,9497,,8671,,8255,,,,,,,,,,,,,,,,,00005
Citroën,Xsara Exclusive 2.0 16V,011037-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15912,,13281,,11631,,11145,,9424,,,,,,,,,,,,,,,,,,,00005
Citroën,Xsara GLX 1.6 16V 3p,011053-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12267,,10776,,10357,,,,,,,,,,,,,,,,,,,,,,,00005
Citroën,Xsara GLX 1.6 16V 5p Aut.,011055-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13077,,12686,,11046,,,,,,,,,,,,,,,,,,,,,,,00005
Citroën,Xsara GLX 1.6 16V 5p Mec.,011054-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12285,,11338,,10501,,,,,,,,,,,,,,,,,,,,,,,00005
Citroën,Xsara GLX 1.8 16V 5p Mec,011024-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9501,,8662,,8311,,7304,,,,,,,,,,,,,,,,,00005
Citroën,Xsara GLX 1.8 16V Cupê Mec,011022-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10248,,9685,,8756,,8201,,,,,,,,,,,,,,,,,00005
Citroën,Xsara GLX 1.8 8V 5p Aut,011025-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9282,,8527,,,,,,,,,,,,,,,,,00005
Citroën,Xsara GLX 1.8 8V Cupê Aut,011023-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9304,,8262,,,,,,,,,,,,,,,,,00005
Citroën,Xsara GLX/ Paris 2.0 16V,011046-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11908,,11210,,10808,,,,,,,,,,,,,,,,,,,00005
Citroën,Xsara Picasso Exc./Etoile 2.0 16v  Mec,011063-9,,,,,,,,,,,,,,,,,,,,31564,,22025,,19833,,16983,,16219,,15669,,14987,,14424,,13112,,11472,,,,,,,,,,,,,,,,,,,,,,,00005
Citroën,Xsara Picasso Exclus. 1.6/ 1.6 Flex 16V,011079-5,,,,,,,,,,,,,,,,25622,,23366,,21975,,21297,,19045,,18046,,,,16210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Citroën,Xsara Picasso Exclusive 2.0 16V  Aut,011074-4,,,,,,,,,,,,,,,,,,27521,,25722,,22196,,21362,,18961,,18203,,16410,,15641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Citroën,Xsara Picasso GLX /Brasil/Etoile 2.0 Mec,011064-7,,,,,,,,,,,,,,,,,,,,25719,,20422,,19220,,17407,,16581,,16025,,14365,,13700,,13005,,12112,,,,,,,,,,,,,,,,,,,,,,,00005
Citroën,Xsara Picasso GLX 1.6/ 1.6 Flex 16V,011077-9,,,,,,,,,,,,,,,,25291,,23991,,21008,,20139,,18720,,17310,,15961,,15436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Citroën,Xsara Picasso GLX 2.0 16V  Aut,011075-2,,,,,,,,,,,,,,,,,,,,25801,,21507,,20228,,18812,,17381,,16378,,15272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Citroën,Xsara VTS 1.6 16V 3p,011058-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11044,,9615,,,,,,,,,,,,,,,,,,,,,,,00005
Citroën,Xsara VTS 1.8 16V,011038-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11144,,9746,,9438,,,,,,,,,,,,,,,,,,,00005
Citroën,Xsara VTS 2.0  16V Cupê Mec,011017-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16921,,15957,,14261,,13209,,11311,,,,,,,,,,,,,,,,,00005
Citroën,ZX Cupê 16V,011008-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8925,,8475,,7935,,7156,6716,6351,5756,,,,,,,,00005
Citroën,ZX Dakar 2.0 16V,011032-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8127,,7843,,,,,,,,,,,,,00005
Citroën,ZX Furio,011009-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6736,,5756,,5298,,5088,,,,,,,,,,,00005
Citroën,ZX Paris 1.8,011031-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7058,,6712,,6499,,,,,,,,,,,,,00005
Citroën,ZX Volcane 3p e 5p,011010-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7453,,7163,,6703,,6099,5894,5325,,,,,,,,,00005
Cross Lander,CL-244 2.8 132cv 4x4 TB Int. Diesel,059001-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,37800,,32248,,30925,,29943,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Cross Lander,CL-330 2.8 132cv 4x4 TB Int. Diesel,059002-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,35146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00002
Daewoo,Espero 2.0,030017-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6125,5612,,,,,,,,,,00005
Daewoo,Espero CD / DLX 2.0,030001-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8236,,7746,,7460,5908,,,,,,,,,,00005
Daewoo,Lanos Hatch SX 1.6 16V,030010-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8529,,,,,,,,,,,,,,,,,,,00005
Daewoo,Lanos SX 1.6 16V,030005-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7804,,7551,,5855,,,,,,,,,,,,,,,00005
Daewoo,Lanos SX 1.6 16V Aut,030009-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9337,,,,8538,,7786,,6034,,,,,,,,,,,,,,,00005
Daewoo,Leganza CDX 2.0 16V Aut.,030012-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11569,,9445,,8235,,,,,,,,,,,,,,,00005
Daewoo,Leganza CDX 2.0 16V Mec.,030006-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9582,,8019,,7386,,,,,,,,,,,,,,,00005
Daewoo,Nubira CDX 2.0 16V Aut.,030013-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8956,,8229,,7657,,,,,,,,,,,,,,,00005
Daewoo,Nubira CDX 2.0 16V Mec.,030007-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7539,,6585,,6242,,,,,,,,,,,,,,,00005
Daewoo,Nubira SW CDX 2.0 16V Aut.,030014-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9017,,8269,,,,,,,,,,,,,,,,,00005
Daewoo,Nubira SW CDX 2.0 16V Mec.,030008-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8562,,7749,,,,,,,,,,,,,,,,,00005
Daewoo,Prince Ace 2.0,030002-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6242,5929,,,,,,,,,,00005
Daewoo,Racer GTi 1.5 16V,030011-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6147,,,,,,,,,,,00005
Daewoo,Super Salon Ace,030004-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9576,8880,,,,,,,,,,00005
Daewoo,Tico,030003-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4312,4114,,,,,,,,,,00005
Daihatsu,Applause 1.6 16V,012012-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6288,5982,,,,,,,,,,00005
Daihatsu,Applause DLX 1.6 16V,012011-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6304,6019,,,,,,,,,,00005
Daihatsu,Charade CX/TS 1.0,012015-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7544,6827,,,,,,,,,,00005
Daihatsu,Charade Sd 1.5/DLX 1.3,012001-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8647,7573,,,,,,,,,,00005
Daihatsu,Charade Sedan 1.3i 16V,012006-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7408,6704,,,,,,,,,,00005
Daihatsu,Charade TS/TSi 1.3/LSi 1.5 16V,012002-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9239,8052,,,,,,,,,,00005
Daihatsu,Charade TX 1.3 16V,012010-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7732,,,,,,,,,,,00005
Daihatsu,Cuore 0/TS0 85i,012013-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5497,,4540,,4374,,3816,,3470,,,,,,,,,,,00004
Daihatsu,Cuore CS/CSL,012003-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8895,,8511,,7954,,7545,,,,,,,,,,,00004
Daihatsu,Cuore TS/TSL,012004-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7900,,6880,,6473,,,,,,,,,,,00004
Daihatsu,Feroza DX 1.6 16V,012009-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14541,11788,,,,,,,,,,00004
Daihatsu,Feroza SX 1.6i 16V,012005-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19404,,16868,,15960,14837,,,,,,,,,,00004
Daihatsu,Gran Move 1.5/1.6 16V,012007-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10067,,8708,,6760,,5061,,,,,,,,,,,,,00005
Daihatsu,Move Van,012014-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3569,,3188,,,,,,,,,,,,,00004
Daihatsu,Terios 1.3 16V,012008-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15657,,14882,,11495,,,,,,,,,,,,,,,00004
Dodge,Avenger ES 2.0/2.5 16V,013010-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13308,11461,,,,,,,,,,00005
Dodge,Dakota 2.5,013004-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18948,,17862,,16514,,12390,,,,,,,,,,,,,,,,,00002
Dodge,Dakota Club 2.5,013013-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9920,,,,,,,,,,,00002
Dodge,Dakota Durango 5.9 4x4 V8,013015-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38339,,36205,,30860,,,,,,,,,,,,,,,,,00006
Dodge,Dakota Durango SLT 5.2 4x4 V8,013016-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35917,,32023,,27263,,,,,,,,,,,,,,,,,00006
Dodge,Dakota RT 5.2 Aut,013018-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30502,,26655,,,,,,,,,,,,,,,,,,,,,00002
Dodge,Dakota RT 5.2 CE Aut,013019-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32913,,31527,,,,,,,,,,,,,,,,,,,,,00004
Dodge,Dakota Sport 2.5 4x4,013014-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12117,,,,,,,,,,,00002
Dodge,Dakota Sport 2.5 CD Diesel,013022-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34686,,,,,,,,,,,,,,,,,,,,,,,00006
Dodge,Dakota Sport 2.5 Diesel,013006-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29573,,26315,,25284,,,,,,,,,,,,,,,,,,,00002
Dodge,Dakota Sport 3.9 V6,013005-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23337,,20639,,19839,,16000,,,,,,,,,,,,,,,,,00002
Dodge,Dakota Sport 3.9 V6 CD Aut.,013021-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28060,,,,,,,,,,,,,,,,,,,,,,,00006
Dodge,Dakota Sport 3.9 V6 CD Mec.,013020-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28059,,,,,,,,,,,,,,,,,,,,,,,00006
Dodge,Dakota Sport 5.2 V8,013011-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24457,,19912,,16323,,13432,,,,,,,,,,,,,,,00002
Dodge,Dakota Sport 5.2 V8 CD Aut.,013023-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34163,,,,,,,,,,,,,,,,,,,,,,,00006
Dodge,Dakota Sport CE 2.5 Diesel,013008-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29904,,27989,,27161,,,,,,,,,,,,,,,,,,,00004
Dodge,Dakota Sport CE 3.9 V6,013007-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27142,,24472,,22787,,19291,,,,,,,,,,,,,,,,,00004
Dodge,Durango Citadel 3.6 24V 4x4 Aut.,013034-6,,,,,,,,,,,,,,124017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00007
Dodge,Durango Crew 3.6 24V 4x4 Aut.,013035-4,,,,,,,,,,,,,,120395,,116655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00007
Dodge,Durango Limited 3.6 24V 4x4 Aut.,013038-9,,239900,,,,,,,,200778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00007
Dodge,Intrepid 3.3 V6,013017-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9451,,,,,,,,,00005
Dodge,JOURNEY Crossroad 3.6 V6 Aut.,013037-0,,132469,,,,,,,,108085,,95656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00007
Dodge,JOURNEY RT  3.6 V6 Aut.,013031-1,,142340,,,,117899,,,,103093,,83467,,74724,,64046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00007
Dodge,JOURNEY RT 2.7 V6 185cv Aut.,013029-0,,,,,,,,,,,,,,,,,,53083,,47646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00007
Dodge,JOURNEY RT 3.6 AWD V6 Aut.,013036-2,,139900,,,,,,115557,,106985,,84768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00007
Dodge,JOURNEY SE 2.7 V6 185cv Aut.,013030-3,,,,,,,,,,,,,,,,,,,,41682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Dodge,JOURNEY SXT 2.7 V6 185cv Aut.,013027-3,,,,,,,,,,,,,,,,,,51936,,45427,,42344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00007
Dodge,JOURNEY SXT 3.6 V6 Aut.,013032-0,,119900,,,,,,,,92261,,80031,,69279,,59827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00007
Dodge,Ram 2500 H.DUTY 5.9 SLT 24V CD 4x4 Dies.,013024-9,,,,,,,,,,,,,,,,,,,,,,95725,,88447,,82121,,79391,,74376,,60209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00006
Dodge,Ram 2500 H.DUTY 5.9 SLT TDI CS 4x4 Dies.,013025-7,,,,,,,,,,,,,,,,,,,,,,90589,,82558,,79714,,73204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00003
Dodge,Ram 2500 LARAMIE 6.7 TDI CD 4x4 Dies,013033-8,,,,,,,,,,,,,,,,154591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00006
Dodge,Ram 2500 TROPIVAN 5.9 SLT Exec.TDI Dies.,013028-1,,,,,,,,,,,,,,,,,,,,123272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05-09
